transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DomainType	Coverage_max	Subfamily_hits	Domains
MER31-int_00579	27.289831414853136	3.634124866012059	0.9047601616195236	4.016672064237404	5.902577141365845e-5	0.001653077070899739	NA	NA	NA	NA
MER66-int_00219	742.7520353269766	3.4190031560172383	0.8546007723931524	4.000702159960549	6.315480691116481e-5	0.001653077070899739	ENV	0.556	MER66	ENV:0.56
HERVIP10FH-int_00327	465.97763273116016	5.2503596468272375	1.3220964181764474	3.9712380841852664	7.150007946770526e-5	0.0018258678829923757	NA	NA	NA	NA
HERVK14C-int_00002	16.450210193597233	2.904376720355626	0.7423836081702638	3.912231747026282	9.144709224880993e-5	0.0022796453710596186	INT | RNaseH | RT	0.91	HERVK14C	RT:0.91 | RNaseH:0.48 | INT:0.32
HERV-Fc2-int_00010	8.382472010103175	3.599945246568623	0.9219024307431194	3.904909160144864	9.426078563481619e-5	0.0022951405246430827	NA	NA	NA	NA
HERVS71-int_00025	181.319049960827	-2.1388853146041504	0.5504984855893815	-3.8853609421181066	1.0217796626828647e-4	0.0024313711518839987	ENV | INT | RNaseH	0.386	HERVS71	RNaseH:0.39 | INT:0.27 | ENV:0.09
LTR43-int_00020	35.411080746154845	3.644594759546483	0.9465345150668725	3.850461553733192	1.1789543674751583e-4	0.002743033828325535	NA	NA	NA	NA
HERVK3-int_00038	87.257792699685	2.1896082041724414	0.571375717043431	3.8321688144230435	1.2701852852570975e-4	0.002891052160139524	AP | DUT | GAG | INT | RNaseH	0.811	HERVK3	AP:0.81 | DUT:0.69 | GAG:0.54 | RNaseH:0.40 | INT:0.29
MER50-int_00228	18.7838685182468	3.295817421236922	0.8642870062596928	3.8133367705017025	1.3710308816746114e-4	0.0030541900704538685	AP	0.516	MER50	AP:0.52
PRIMA41-int_00113	185.4592141037345	2.4845485644194145	0.6573040565854635	3.7799075473929777	1.5688660240252195e-4	0.00342208901490501	NA	NA	NA	NA
HERVIP10B3-int_00042	703.7931789638542	3.645507073586589	0.973009780855041	3.7466294227618837	1.7922655293240946e-4	0.0038295959371476064	ENV | GAG | INT	0.782	HERVIP10B3	ENV:0.78 | GAG:0.26 | INT:0.24
HERVK9-int_00163	9.74649947964722	3.1969076366266838	0.8552662958787933	3.7379090606415564	1.855570347966875e-4	0.0038855643086426364	AP | DUT | ENV | GAG | INT | RNaseH | RT	0.911	HERVK9	AP:0.91 | DUT:0.69 | RNaseH:0.52 | ENV:0.23 | GAG:0.22 | RT:0.20 | INT:0.15
MER65-int_00335	116.3208902096658	5.993596191444866	1.6522140115846873	3.627614915150266	2.8605147193438117e-4	0.00587246845324112	NA	NA	NA	NA
MER61-int_00404	17.528594182486778	3.9234501143524443	1.093780933816464	3.5870529399909965	3.3443644353596037e-4	0.006733749161195202	NA	NA	NA	NA
HERVE_a-int_00114	412.1194474742769	1.6698299376376728	0.4678142105145951	3.569429701164618	3.5775920135822743e-4	0.0070674317702276255	ENV | GAG	0.272	HERVE_a	ENV:0.27 | GAG:0.14
PABL_B-int_00230	144.367584348561	-1.4941308921933567	0.41975038672249554	-3.5595700193628486	3.714624866941148e-4	0.007202244880902559	GAG	0.313	PABL_B	GAG:0.31
HERVE_a-int_00014	455.3824107031408	1.2085689887703228	0.34058581244436265	3.5485006850300085	3.874309906164493e-4	0.007375277221371317	NA	NA	NA	NA
HERVL-int_00032	187.8426304335021	1.7101121654971871	0.4864610471918021	3.5154143900506862	4.390682946721258e-4	0.008209009009316353	DUT | INT | RNaseH | RT	0.577	HERVL	DUT:0.58 | RT:0.44 | RNaseH:0.33 | INT:0.15
HERVH-int_00707	47.77549840222231	3.750775503976147	1.0702527641481863	3.504569789138912	4.573456797208285e-4	0.008400718011714166	ENV | GAG | INT | RT	0.63	HERVH	RT:0.63 | ENV:0.13 | INT:0.10 | GAG:0.05
HERV3-int_00025	9.641265890580984	2.69868305954849	0.7822848865955909	3.449744595338959	5.611171511239743e-4	0.010129132021151744	ENV | INT	0.099	HERV3	ENV:0.10 | INT:0.10
Harlequin-int_00236	6.570105128460936	3.6498939465745432	1.0644650249283112	3.4288528613895544	6.061380387214258e-4	0.010756381805785302	ENV	0.277	Harlequin	ENV:0.28
HERVK-int_00077	38.18156678579876	-2.1824528298823407	0.6380806736744593	-3.420339966284264	6.254292208250204e-4	0.010838041573022521	AP | DUT | ENV | GAG | INT | ORFX | RNaseH | RT	1	HERVK	DUT:1.00 | GAG:1.00 | INT:1.00 | RNaseH:1.00 | ENV:0.99 | AP:0.82 | RT:0.59 | ORFX:0.18
PABL_B-int_00176	30.301328055591544	3.434529572903321	1.0049135899878123	3.4177362184394138	6.314427277501182e-4	0.010838041573022521	NA	NA	NA	NA
PRIMA41-int_00173	136.63216029477448	3.0629137493130276	0.9045954227058894	3.3859487594476487	7.093262702729693e-4	0.011978461370577401	RNaseH	0.493	PRIMA41	RNaseH:0.49
MLT-int_00054	47.399176336187445	1.7016131703139548	0.5043289604133301	3.3740143911612237	7.408049471684714e-4	0.012311472693418883	NA	NA	NA	NA
HERVH-int_00241	15.780991251643979	2.392033686020896	0.7169943135702614	3.336196174429618	8.493320796156178e-4	0.013894541989961746	AP | GAG | RT	0.824	HERVH	AP:0.82 | RT:0.37 | GAG:0.09
MER50-int_00113	346.062222060204	3.3079076411440833	0.9932849871039552	3.330270450164253	8.676166851850505e-4	0.013975302605980736	GAG	0.309	MER50	GAG:0.31
PABL_B-int_00232	167.68396116804098	-1.4851147822803894	0.4512651717555825	-3.2910024420957704	9.983104661685997e-4	0.015836834213310967	INT | RNaseH | RT	0.761	PABL_B	RT:0.76 | RNaseH:0.55 | INT:0.40
HERV17-int_00298	2237.559044064333	3.1535714884167056	0.9659849522051753	3.264617612539048	0.001096119452850057	0.016877015693147198	AP | ENV | GAG | INT | RNaseH | RT	0.993	HERV17	RNaseH:0.99 | ENV:0.95 | AP:0.41 | RT:0.35 | INT:0.26 | GAG:0.20
HERVH-int_00257	22.04026155499312	-3.075510860406404	0.9412895464849325	-3.2673377409653774	0.0010856407917956838	0.016877015693147198	AP | GAG | INT | RT	0.794	HERVH	AP:0.79 | RT:0.34 | INT:0.15 | GAG:0.13
HERVE_a-int_00091	31.966335708895446	1.7680954561155695	0.5610443485997271	3.151436175283541	0.001624696666141026	0.02465300593405296	AP | ENV | GAG | INT | RNaseH | RT	0.871	HERVE_a	RNaseH:0.87 | RT:0.57 | AP:0.40 | INT:0.39 | ENV:0.39 | GAG:0.18
HERV3-int_00040	31.36737984437752	2.92213863499344	0.931662122914021	3.136478947811761	0.0017098971227504677	0.02557517553599628	ENV | INT	0.215	HERV3	INT:0.21 | ENV:0.20
HERVP71A-int_00020	15.781831099817285	-1.6335109715710492	0.529678646454248	-3.0839660660402832	0.0020426089235330994	0.030121289337171196	AP | GAG	0.956	HERVP71A	AP:0.96 | GAG:0.07
HERVH-int_01170	19.240400653343396	-2.5124720853646587	0.815984156057981	-3.079069693586221	0.0020764809944028234	0.030166389306316776	AP | GAG | INT | RT	0.338	HERVH	AP:0.34 | INT:0.19 | RT:0.18 | GAG:0.09
HERVK3-int_00100	24.241239066269248	2.8623011452731135	0.9332040893603266	3.0671759563710275	0.0021609161394209723	0.030166389306316776	GAG | INT | RNaseH	0.494	HERVK3	INT:0.49 | GAG:0.47 | RNaseH:0.38
LTR25-int_00189	41.201012017720586	-1.5591567229376424	0.5080442506721756	-3.0689388195512035	0.0021482057942540434	0.030166389306316776	NA	NA	NA	NA
MER41-int_00491	42.860018363989916	1.6902364282472806	0.5501016486247743	3.07258927958639	0.002122103430397635	0.030166389306316776	NA	NA	NA	NA
HUERS-P3b-int_00100	19.53696514094673	-2.1721541614609743	0.7141135903574592	-3.041748806900136	0.0023520808784673964	0.032403008944149526	NA	NA	NA	NA
MER4-int_00349	31.630551302567728	-2.573651299760238	0.8473578702849682	-3.037266059610343	0.0023873463449623016	0.03246170939189	NA	NA	NA	NA
ERV3-16A3_I-int_01078	10.90606953991272	-2.01679144200123	0.6701707421280455	-3.009369575874283	0.002617904515343876	0.03469551933626631	NA	NA	NA	NA
HERVIP10FH-int_00195	30.846967546570394	2.8311797054528953	0.939976546409666	3.0119684541777856	0.002595595694206208	0.03469551933626631	INT | RNaseH	0.45	HERVIP10FH	RNaseH:0.45 | INT:0.16
HERVK13-int_00023	24.55445342221203	2.532050838782182	0.8470060093654419	2.9894130747421004	0.002795139670985636	0.03658139044402451	ENV	0.629	HERVK13	ENV:0.63
HERV35I-int_00160	30.86054361256323	2.1194261203927875	0.710944679312004	2.9811407020357765	0.0028717681509352944	0.037120262395422876	NA	NA	NA	NA
HERVK-int_00078	275.44953104449263	-2.243129969764676	0.7560718142142586	-2.9668213092903484	0.003008957789068264	0.038419253721396	NA	NA	NA	NA
PRIMA41-int_00175	76.38064342190415	3.5770324401633737	1.2145870758225175	2.945060515929671	0.0032289150207078796	0.04073101236965241	NA	NA	NA	NA
HERVE-int_00016	223.39769317208794	1.4925082260980942	0.5078906781174035	2.938640716207608	0.003296549741239681	0.04108913784616602	AP | ENV | GAG | INT | RNaseH | RT	1	HERVE	AP:1.00 | RT:0.75 | RNaseH:0.62 | ENV:0.62 | INT:0.41 | GAG:0.27
HERV9NC-int_00156	35.13413851376272	-2.2982623657467776	0.793532631454606	-2.8962417859664913	0.0037766129808473664	0.04557056010774001	AP | ENV | GAG | RNaseH | RT	0.971	HERV9NC	AP:0.97 | RT:0.75 | RNaseH:0.53 | GAG:0.24 | ENV:0.14
HERVH-int_00238	13.431283711571961	-1.9294684463793197	0.6659591223673024	-2.897277597941128	0.0037641652102798216	0.04557056010774001	AP | GAG | RT	0.412	HERVH	AP:0.41 | RT:0.36 | GAG:0.12
HERVIP10F-int_00022	18.216893609945693	1.5632105266555436	0.5398930882178401	2.895407555254361	0.0037866654530786825	0.04557056010774001	ENV	0.294	HERVIP10F	ENV:0.29
MER50-int_00167	283.31339169561005	1.4654820634307055	0.5148811006088857	2.8462533615968084	0.004423698266861167	0.05263195551595048	RNaseH | RT	0.403	MER50	RT:0.40 | RNaseH:0.26
PABL_B-int_00177	105.51707451485149	3.2520286565301464	1.1602605947442544	2.802843319217405	0.0050654271135098005	0.05958991222297484	ENV | GAG | INT | RNaseH | RT	0.706	PABL_B	RT:0.71 | RNaseH:0.57 | INT:0.21 | GAG:0.10 | ENV:0.09
HERVE-int_00068	36.19112480354431	1.9070201291941602	0.6830166240968827	2.792055217859029	0.005237441759028435	0.060719643765404	AP | GAG | INT | RNaseH | RT	0.971	HERVE	AP:0.97 | RNaseH:0.56 | INT:0.51 | RT:0.42 | GAG:0.18
HERVH48-int_00040	1012.3379556618024	1.4065424561979953	0.5042107876934322	2.789592151791077	0.005277447547900443	0.060719643765404	ENV	0.463	HERVH48	ENV:0.46
HERV1_I-int_00011	18.65679661452777	-1.591735441940004	0.5714561994252532	-2.7854023519928655	0.005346133958069283	0.06084132884889717	NA	NA	NA	NA
HERVK3-int_00071	95.6848660988434	2.1125698290733403	0.7622131460725895	2.7716260733085667	0.0055777068353405285	0.06279418340431756	GAG | GAGCOAT	0.528	HERVK3	GAG:0.53 | GAGCOAT:0.05
HERVE-int_00150	29.8489311000341	3.0443791905970534	1.1135486834484976	2.7339435049835954	0.006258078087917575	0.06932090818671909	AP | GAG | INT | RNaseH | RT	0.985	HERVE	AP:0.98 | RNaseH:0.54 | RT:0.42 | GAG:0.40 | INT:0.36
MLT1-int_00132	26.773904704473196	2.5099725121469	0.9186383374844881	2.732274944043779	0.006289862729453977	0.06932090818671909	NA	NA	NA	NA
HUERS-P1-int_00338	51.31024667228681	-1.7288101857022133	0.6441540995422136	-2.683845661978774	0.007278069591257625	0.07937644647965347	NA	NA	NA	NA
HERVE_a-int_00126	11865.740609331704	1.1131133216021556	0.4171703948038272	2.6682462021917757	0.0076248361334667215	0.08146125950754753	NA	NA	NA	NA
LTR37-int_00391	33.36443620042822	1.7104903632611597	0.6404083935206744	2.6709368280725694	0.007563988058599379	0.08146125950754753	NA	NA	NA	NA
MLT-int_00053	29.690763643699558	1.2160348496396876	0.4581903619436189	2.6539948253850936	0.007954504670521565	0.08412491303066746	NA	NA	NA	NA
HERVK-int_00079	6382.704107172918	-1.984468380598288	0.7517949526269732	-2.639640468007963	0.008299402147342243	0.08689474048267329	AP | DUT | ENV | GAG | INT | ORFX | RNaseH | RT	0.919	HERVK	GAG:0.92 | INT:0.70 | DUT:0.66 | RNaseH:0.61 | ENV:0.54 | RT:0.45 | AP:0.40 | ORFX:0.18
MER21-int_00229	15.394150768906606	2.3610278920164487	0.9061706654799077	2.6055002462102976	0.00917402076410337	0.09510098752491315	NA	NA	NA	NA
HERVH-int_01317	18.765611640246362	-1.794601451022234	0.6909959238582016	-2.5971230640580476	0.009400823633715649	0.09632274185706516	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.43 | INT:0.20 | GAG:0.13
HERVH48-int_00043	167.7313312778064	1.3681016522652805	0.5273306367570303	2.594390609805663	0.009475876228536496	0.09632274185706516	NA	NA	NA	NA
HUERS-P1-int_00083	50.603632399872936	-1.1852014078544268	0.45802618070805495	-2.587628082792656	0.009663926012364623	0.09728971668217076	NA	NA	NA	NA
HERVE_a-int_00039	87.82782661410886	1.8322392183397245	0.7118678673754075	2.5738473420566446	0.010057463827362072	0.10028728216426752	NA	NA	NA	NA
MER34B-int_00654	54.30579102469169	0.9923154233400707	0.38605021773147646	2.5704309381591695	0.010157207665953514	0.1003263813797484	NA	NA	NA	NA
HERV4_I-int_00098	95.58479672038827	-0.9168488210348343	0.3584439155245309	-2.5578585137737893	0.010531893323901816	0.10048367907711576	INT	0.101	HERV4_I	INT:0.10
HERVE-int_00020	17.8986771445783	2.1165547570319387	0.8275939564545198	2.5574797163810046	0.01054337066219296	0.10048367907711576	AP | ENV | GAG | INT | RNaseH | RT	1	HERVE	AP:1.00 | RNaseH:0.48 | ENV:0.40 | RT:0.37 | GAG:0.27 | INT:0.23
HERVFH21-int_00030	110.93970290969027	1.7370137843778866	0.6793092306317438	2.5570295618719903	0.010557024544873672	0.10048367907711576	AP | GAG | INT | RT	0.941	HERVFH21	AP:0.94 | RT:0.28 | INT:0.20 | GAG:0.18
HERVH-int_01303	25.85090785707776	-1.197969327010834	0.46758175006237507	-2.562053217113426	0.010405537288367026	0.10048367907711576	ENV	0.298	HERVH	ENV:0.30
HUERS-P3b-int_00099	23.524822944992675	-1.8111441402991426	0.7099555679810491	-2.551066886410401	0.010739371318898234	0.10052731309580677	NA	NA	NA	NA
PABL_B-int_00063	267.0630186486211	1.7110394750834141	0.6708369303802169	2.5506041745698638	0.010753638077106359	0.10052731309580677	GAG | INT | RNaseH	0.943	PABL_B	RNaseH:0.94 | INT:0.17 | GAG:0.06
HERVK14C-int_00012	7.474036836570455	-1.7928678894457462	0.7066932623549352	-2.536981721703867	0.01118127919024053	0.10359999391311359	AP | DUT | ENV | GAG	0.99	HERVK14C	ENV:0.99 | DUT:0.81 | GAG:0.32 | AP:0.29
ERV3-16A3_I-int_01444	67.96278692585032	1.3462912764045294	0.5340954543175449	2.5206941297128056	0.011712361236555426	0.10756879135678535	NA	NA	NA	NA
MER89-int_00221	6.6373518358392545	1.8429666631298984	0.7363918675301449	2.5026982838786647	0.012325056435596893	0.11221160076582562	NA	NA	NA	NA
HERV-Fc2-int_00026	1260.3722215799075	1.040791588834671	0.4180437525508545	2.4896714338723673	0.012786123772933923	0.11531312858892101	AP | ENV | GAG | INT | RNaseH | RT	1	HERV-Fc2	RNaseH:1.00 | AP:0.81 | INT:0.44 | RT:0.34 | ENV:0.27 | GAG:0.12
PABL_A-int_00019	20.937476177781416	1.9168329681038934	0.7707706019840205	2.486904616198158	0.012885994312228996	0.11531312858892101	NA	NA	NA	NA
HERVH-int_01316	37.08092961530513	-2.0098048086740152	0.8118452603856688	-2.475600840139478	0.013301219362699252	0.11802014129445863	GAG | INT | RT	0.374	HERVH	RT:0.37 | GAG:0.12 | INT:0.09
LTR49-int_00377	22.589998334027715	-1.4581910423211533	0.5944824225871065	-2.4528749495658837	0.014171959606377583	0.12468942611661622	NA	NA	NA	NA
MER21-int_00237	24.88618497940214	1.4958672510200623	0.6155816615181687	2.4300061950040925	0.0150985647577901	0.13173497751171862	NA	NA	NA	NA
MER4-int_00811	7.801210083070495	-1.7060014866535516	0.7052694661215847	-2.4189356956500454	0.015565991674188458	0.13469085357748195	NA	NA	NA	NA
MLT1-int_00056	28.407846359346763	1.1337613528404933	0.47273732759738224	2.398290311879259	0.01647180445560863	0.1413604857788708	NA	NA	NA	NA
PRIMA41-int_00085	18.586292912526762	1.4147813251154646	0.5909373037935318	2.3941310119250425	0.016659796821702683	0.141811441238396	NA	NA	NA	NA
HERVH-int_00103	13.296867489367733	2.049931496744614	0.8594100102103427	2.385277658382043	0.017066235158643247	0.14409958234757644	AP | INT | RT	0.838	HERVH	AP:0.84 | RT:0.21 | INT:0.15
HERVH-int_00712	49.421664770104115	-1.7662657595409859	0.7429850967345578	-2.3772559736443943	0.01744197954575248	0.14609402067522279	AP | INT | RT	0.838	HERVH	AP:0.84 | RT:0.26 | INT:0.15
HERV35I-int_00056	238.90398823474635	-1.4151763036345062	0.5983183148772553	-2.3652565339318237	0.01801758560858531	0.14971755660467317	NA	NA	NA	NA
HERVH-int_01012	41.678900705527816	-1.9783568889450138	0.837726233812234	-2.3615792476046993	0.018197282144391324	0.15002011342659619	AP | GAG | INT | RT	0.794	HERVH	AP:0.79 | RT:0.34 | INT:0.15 | GAG:0.14
HERVE-int_00010	32.07590246545447	1.427391427743678	0.6155022349662738	2.3190678224294206	0.020391359161213152	0.16447742711693805	AP | GAG | INT | RNaseH | RT	0.985	HERVE	AP:0.98 | RT:0.56 | RNaseH:0.43 | INT:0.27 | GAG:0.17
HERVE_a-int_00071	594.3684920663565	0.7218027100720649	0.31132328819719846	2.3184989284028776	0.02042222113199804	0.16447742711693805	NA	NA	NA	NA
LOR1-int_00747	115.64606019431577	-1.1288719896109383	0.48591333186064023	-2.323196166049419	0.02016861665117687	0.16447742711693805	NA	NA	NA	NA
HERV-Fc2-int_00044	271.6640700226568	1.740646224845423	0.7556790575474268	2.3034199604455483	0.021255225755913026	0.1696750637805677	AP | ENV | GAG | RNaseH | RT	0.794	HERV-Fc2	AP:0.79 | RT:0.61 | RNaseH:0.48 | ENV:0.19 | GAG:0.19
HERVH48-int_00041	250.88454553407354	1.3151370247242795	0.5726898648860518	2.2964209869262358	0.021651822135452164	0.1696750637805677	INT | RNaseH | RT	0.557	HERVH48	RNaseH:0.56 | RT:0.30 | INT:0.24
HUERS-P1-int_00084	22.386107161670846	-1.3865873891814435	0.6040979820290432	-2.295302137120499	0.021715815230750786	0.1696750637805677	NA	NA	NA	NA
HUERS-P1-int_00337	26.258926509776376	-1.8960213843613412	0.8247925383953516	-2.298785811096308	0.021517104916606158	0.1696750637805677	NA	NA	NA	NA
HERV-Fc2-int_00038	20.8751878814993	2.0269549441139767	0.8893274698886378	2.279199746711741	0.022655194155826494	0.17570361689740993	AP | ENV | GAG | INT | RNaseH | RT	0.912	HERV-Fc2	RT:0.91 | RNaseH:0.61 | ENV:0.50 | AP:0.41 | INT:0.34 | GAG:0.13
HERV35I-int_00055	28.256642779198984	-1.4387385680499016	0.6340343823412603	-2.269180675560778	0.023257340919620617	0.17904732310913812	NA	NA	NA	NA
ERVL40-int_00408	14.372759383325537	-1.3853200913150456	0.6142581404624134	-2.2552734755329036	0.024116168458384796	0.18296832156470205	NA	NA	NA	NA
