transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	DomainType	Coverage_max	Subfamily_hits	Domains
HERVE-int_00022	3.02628436389335	8.345787357148684	11.347580850003737	9.804455139561772e-7	1.712895986146968e-5	6.299443628576334	AP | ENV | GAG | INT | RNaseH | RT	0.979	HERVE	RNaseH:0.98 | RT:0.75 | ENV:0.50 | AP:0.44 | INT:0.35 | GAG:0.27
HERVH-int_01045	-4.624648717935042	4.744672803670196	-11.296557206432885	1.019560668623081e-6	1.7303401061774574e-5	6.144940968773753	NA	NA	NA	NA
HERVK22-int_00086	-3.220709883976649	11.981617990509562	-11.116191977386354	1.172234083576033e-6	1.9341862379004545e-5	6.030738694002141	NA	NA	NA	NA
HERVH-int_01290	-4.2749789161283305	4.578583908623492	-11.00532216030613	1.2784791894939457e-6	2.052477401511902e-5	5.922236249402623	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | INT:0.38 | RT:0.23 | GAG:0.11
HERVH-int_01083	-6.273320640150657	5.561506181577111	-10.893800962411001	1.3961417238207827e-6	2.1823899577619604e-5	5.8971303967188575	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.37 | INT:0.20 | GAG:0.12
HERVH-int_00524	-2.5376211643428412	9.315602808000596	-10.849290627960348	1.4463895211363876e-6	2.2029625014231134e-5	5.888537121213312	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.28 | INT:0.21 | GAG:0.13
HERVK14-int_00153	5.460639532507655	7.3395956197967465	10.663148656335519	1.6791929754076162e-6	2.4630324256216495e-5	5.739537712514473	GAG | RT	0.462	HERVK14	RT:0.46 | GAG:0.28
Harlequin-int_00010	-5.025609797920671	7.032338156796666	-10.647860064567258	1.7000728863718455e-6	2.4630324256216495e-5	5.723874506825104	ENV	0.215	Harlequin	ENV:0.21
HERVH-int_01353	-8.238374245461381	9.34548084505262	-10.485831072528581	1.9398070332933136e-6	2.7434413756576864e-5	5.610791177113427	AP | INT | RT	0.838	HERVH	AP:0.84 | RT:0.37 | INT:0.18
HERVH-int_01339	-3.743362668901261	9.333674569785487	-10.31576352698234	2.2321117786795986e-6	3.043942783182177e-5	5.462754795179408	GAG | RT	0.937	HERVH	RT:0.94 | GAG:0.10
HERVH-int_00520	-3.1623602098480954	11.826132864094687	-10.303616336829704	2.2547724319867977e-6	3.043942783182177e-5	5.350461672088479	ENV | GAG | RNaseH | RT	0.454	HERVH	RT:0.45 | RNaseH:0.44 | ENV:0.17 | GAG:0.10
HERV17-int_00009	-4.215974258429809	4.55853486967054	-10.264052757641386	2.3303503437972115e-6	3.0760624538123186e-5	5.3756056268334556	AP | GAG | INT | RNaseH | RT	0.956	HERV17	AP:0.96 | RT:0.78 | RNaseH:0.34 | GAG:0.11 | INT:0.10
HERV1_I-int_00020	5.081299572591516	5.227190805159129	10.185414548711554	2.4889815289841537e-6	3.214032670036059e-5	5.338865761513149	ENV | INT | RNaseH | RT	0.643	HERV1_I	RNaseH:0.64 | ENV:0.35 | INT:0.31 | RT:0.14
HERVH-int_00121	-4.172433313999804	4.5366607807908315	-10.137937611755657	2.590479015624904e-6	3.2739245431514744e-05	5.275945394207959	AP | GAG | RT	0.794	HERVH	AP:0.79 | RT:0.34 | GAG:0.12
HERVK9-int_00114	3.1165882661618953	8.887628228709694	10.04976740085563	2.7912632945657883e-6	3.454188327025163e-5	5.232627863564224	AP | DUT | GAG | INT | RNaseH | RT	0.822	HERVK9	AP:0.82 | INT:0.73 | DUT:0.56 | RNaseH:0.47 | RT:0.41 | GAG:0.22
HERVL-int_00224	5.166294165506077	5.800989820893282	9.924082173632224	3.1076733269636142e-6	3.7672611351354836e-5	5.140552756686877	DUT	0.664	HERVL	DUT:0.66
HERV3-int_00054	5.036694175829907	5.207128886136083	9.864073300582454	3.2724835290425887e-6	3.8877104325025954e-5	5.082531015890664	ENV | INT | RNaseH	0.693	HERV3	RNaseH:0.69 | ENV:0.27 | INT:0.18
HERVL-int_00436	3.3157526897974314	8.360214388402792	9.817288788423125	3.407641540740664e-6	3.9532461532832596e-5	5.055713177299783	DUT | INT | RT	0.555	HERVL	DUT:0.56 | RT:0.47 | INT:0.13
HERVH-int_00825	-6.750177495067008	7.495276784135307	-9.799459433634125	3.460754208261439e-6	3.9532461532832596e-5	5.051432234339117	AP | GAG | INT | RT	0.971	HERVH	AP:0.97 | RT:0.51 | INT:0.16 | GAG:0.14
LOR1-int_00487	4.309589321805467	6.957489139199135	9.725027394563803	3.692520662310282e-6	4.1384099498345424e-5	4.986223583690952	NA	NA	NA	NA
HERVH-int_01332	-6.019465045425645	6.497058295752491	-9.684152355641663	3.827013032223232e-6	4.209714335445555e-5	4.952703187139971	AP | GAG | INT | RT	0.412	HERVH	AP:0.41 | RT:0.21 | INT:0.16 | GAG:0.14
HERVH-int_00065	-4.724494805787438	11.825153092615977	-9.611652391596378	4.078997510159566e-6	4.405317310972331e-5	4.753736164404565	GAG | INT | RT	0.34	HERVH	RT:0.34 | INT:0.16 | GAG:0.12
HERV35I-int_00262	3.872990050426303	6.955448474137187	9.571651430752171	4.225788731639369e-6	4.4823544760603314e-5	4.857276396973965	NA	NA	NA	NA
HERVH-int_00544	-5.002881855685103	4.93457204454456	-9.460311926282895	4.665827350063286e-6	4.862283238487003e-5	4.748050936746141	AP | GAG | INT | RT	0.338	HERVH	AP:0.34 | RT:0.25 | INT:0.20 | GAG:0.12
HERV9NC-int_00038	-4.060734995784427	6.701499875267533	-9.42378732410217	4.820956598683787e-6	4.937324516583051e-5	4.727461110911957	AP | ENV | GAG | RNaseH | RT	0.464	HERV9NC	RNaseH:0.46 | AP:0.37 | ENV:0.15 | GAG:0.10 | RT:0.09
HERVK22-int_00085	-2.8245068467619943	11.6821872504494	-9.395216857326607	4.946252067823165e-6	4.979785980147389e-5	4.526090983474603	INT | RNaseH | RT	0.5	HERVK22	RT:0.50 | INT:0.49 | RNaseH:0.41
HERVH-int_01056	-2.930402189031775	13.709936608404554	-9.371077910432252	5.054902556375203e-6	5.004353530811451e-5	4.487624705898509	AP | GAG | INT | RT	0.882	HERVH	AP:0.88 | RT:0.51 | INT:0.15 | GAG:0.10
HERVH-int_01229	-4.440716035953223	5.1839309168384435	-9.337716876651717	5.2093992747798e-6	5.072759293801969e-5	4.643205187270037	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.45 | GAG:0.12 | INT:0.10
HERVH-int_00808	-5.1161003415109825	5.5148283112526295	-9.278323086544868	5.497447247108657e-6	5.266909136746035e-5	4.5975687986749865	GAG | INT | RT	0.374	HERVH	RT:0.37 | INT:0.16 | GAG:0.13
HERV9NC-int_00014	3.584034391311535	7.115694610173746	9.230101838071537	5.744187942422014e-6	5.415948631426471e-5	4.561848012916146	AP | ENV | GAG | RNaseH | RT	0.849	HERV9NC	RT:0.85 | RNaseH:0.56 | AP:0.38 | GAG:0.25 | ENV:0.18
Harlequin-int_00012	-5.515833848142286	5.735691999862121	-9.186366780611745	5.9785146680468755e-6	5.548808926281006e-5	4.519259596168392	NA	NA	NA	NA
HERVH-int_00048	-3.9744468909145962	11.199348803912903	-9.050918120869715	6.7733847618180385e-6	6.18983161310756e-5	4.237219230670952	AP | INT | RT	0.838	HERVH	AP:0.84 | RT:0.37 | INT:0.21
Harlequin-int_00179	-5.375841898679638	7.980695937916071	-9.03406447516398	6.88014577416222e-6	6.192131196745998e-5	4.385671120894586	ENV | GAG	0.285	Harlequin	ENV:0.28 | GAG:0.10
HERVH-int_01046	-4.454176412179321	8.622619602730177	-8.94691445218104	7.462495900774412e-6	6.616003828447762e-5	4.296568877193161	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.37 | INT:0.15 | GAG:0.10
HERVL-int_00053	2.316331929301091	8.375085434984987	8.920215073043934	7.651567998140463e-6	6.683869692493287e-5	4.214003068554364	DUT | INT	0.577	HERVL	DUT:0.58 | INT:0.56
HERVH-int_00476	-1.7448584835351906	14.853239319380606	-8.734573741475739	9.12097232413435e-6	7.851967479037397e-5	3.8539932162043895	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.43 | INT:0.19 | GAG:0.13
HERVH-int_01191	-3.848576343762601	13.031163191228085	-8.690796814155826	9.51090535999875e-6	8.070682548341796e-5	3.820786438482065	GAG | INT | RT	0.252	HERVH	RT:0.25 | INT:0.15 | GAG:0.13
HERVH-int_00870	-3.2053276135752924	13.515333979151324	-8.655781657636833	9.835960617644857e-6	8.228958601240909e-5	3.785393875833024	AP | RT	0.838	HERVH	AP:0.84 | RT:0.21
HERVS71-int_00036	1.8184278384356196	10.216052078277013	8.54878945700746	1.0907059652208074e-5	8.883754691217588e-5	3.7212797488383966	ENV | GAG | INT | RNaseH	0.7	HERVS71	RNaseH:0.70 | INT:0.38 | GAG:0.26 | ENV:0.15
HERVH-int_00259	-2.43955221410947	8.370786217846149	-8.547780914779247	1.0917745664290976e-5	8.883754691217588e-5	3.85963728116468	AP | GAG | RT	0.838	HERVH	AP:0.84 | RT:0.34 | GAG:0.12
HUERS-P3-int_00277	3.261891479269501	7.264264317758431	8.508087770742167	1.1347565416840675e-5	9.108721429193731e-5	3.893002469799752	NA	NA	NA	NA
Harlequin-int_00110	-2.3807263181634615	10.50048679840708	-8.467621465510689	1.1804924831613297e-5	9.349500466637731e-5	3.653004230434009	ENV | GAG	0.23	Harlequin	ENV:0.23 | GAG:0.14
HERVH-int_01037	-3.9700224780363684	4.956042388360628	-8.394937326108899	1.2677988352227677e-5	9.908848791083211e-5	3.7877753290849405	AP | INT | RT	0.971	HERVH	AP:0.97 | RT:0.51 | INT:0.16
MER57A-int_00623	2.3824721117433985	10.02092819695337	8.32770971468324	1.3548791195720625e-5	1.0451924636698768e-4	3.5192882159889054	NA	NA	NA	NA
HERVH-int_00105	-4.630264973542944	10.945575933099423	-8.265945714281925	1.4406821299117103e-5	1.0971348527789178e-4	3.476472968026207	AP | ENV | GAG | INT | RT	0.868	HERVH	AP:0.87 | RT:0.49 | ENV:0.33 | INT:0.32 | GAG:0.13
ERVL-E-int_02133	2.898382767962975	6.654610459351065	7.962606569654101	1.9581454711783127e-5	1.4723271011138198e-4	3.3598815671095927	NA	NA	NA	NA
HERVH-int_00023	-4.26508301659706	9.592487279311968	-7.944638949702776	1.994627998128592e-5	1.474472815388702e-4	3.2076488360575652	AP | GAG | INT | RT	0.399	HERVH	RT:0.40 | AP:0.35 | INT:0.20 | GAG:0.13
HERV15-int_00018	2.9203354616115673	7.736566724689123	7.936863977865352	2.010644748257321e-5	1.474472815388702e-4	3.298182579710777	AP | INT | RNaseH | RT	0.838	HERV15	AP:0.84 | RNaseH:0.76 | INT:0.30 | RT:0.12
MER65-int_00318	4.342536235561491	5.10403795207161	7.883979769454122	2.123394646801956e-5	1.5368690272056507e-4	3.286575344947786	NA	NA	NA	NA
HERVH-int_00099	-2.0815057200718643	13.925506696103993	-7.8730824879282615	2.1474769235365152e-5	1.5368690272056507e-4	2.9526118591886643	AP | GAG | RT	0.838	HERVH	AP:0.84 | RT:0.36 | GAG:0.13
HERVH-int_01338	-3.8116741836284262	8.920054899156503	-7.804017882215131	2.3072291195785013e-5	1.6315405917019402e-4	3.093514238057397	ENV	0.255	HERVH	ENV:0.26
HERVK9-int_00109	1.6265628558805632	10.644875027910867	7.7173151201151855	2.5264465064120576e-5	1.7655402644808967e-4	2.8127425624952895	AP | DUT | ENV | GAG | INT | RNaseH | RT	0.985	HERVK9	DUT:0.98 | RNaseH:0.86 | RT:0.47 | GAG:0.45 | INT:0.30 | AP:0.28 | ENV:0.25
HERVK9-int_00115	2.839486121593115	8.595653193016094	7.667182807066507	2.663521078477182e-5	1.8396878146691232e-4	2.9147458395850308	ENV | INT	0.224	HERVK9	ENV:0.22 | INT:0.12
HERVH-int_01061	-1.5301012090582373	10.68058453733653	-7.524771619887393	3.099282824362782e-5	2.116062066289072e-4	2.602779471115463	AP | INT | RT	0.838	HERVH	AP:0.84 | RT:0.36 | INT:0.21
MER4-int_00820	-2.349278969818817	9.582616416336334	-7.449303084798098	3.361335489475033e-5	2.2689014553956474e-4	2.6045772894798525	NA	NA	NA	NA
ERVL-E-int_02982	2.1968621182359382	8.423896701928923	7.427450639001309	3.441664041549638e-5	2.2789007177311077e-4	2.6524927987017772	NA	NA	NA	NA
HERV9-int_00064	4.558110559688655	5.20968330227196	7.424443880693579	3.452879875350163e-5	2.2789007177311077e-4	2.8077233644860176	ENV | INT | RNaseH	0.636	HERV9	RNaseH:0.64 | INT:0.20 | ENV:0.10
Harlequin-int_00145	-2.8358862828917966	8.096148006092204	-7.31887443519371	3.873137795108822e-5	2.528180055268835e-4	2.611310188042168	ENV	0.277	Harlequin	ENV:0.28
HERVH-int_00977	-2.8390037804479338	8.402793665266072	-7.300690269516358	3.951011972585005e-5	2.537911839227146e-4	2.5460123142176556	GAG | INT | RT	0.34	HERVH	RT:0.34 | INT:0.20 | GAG:0.13
HERV-Fc2-int_00025	-6.966055442009711	8.130894595998555	-7.295512279101547	3.973498334143512e-5	2.537911839227146e-4	2.646016350392536	AP | GAG | INT | RNaseH | RT	0.838	HERV-Fc2	AP:0.84 | RNaseH:0.51 | RT:0.32 | INT:0.30 | GAG:0.10
MER57-int_00471	2.2975321339278825	8.689982969916574	7.225822441306449	4.290127034396895e-5	2.710995168544421e-4	2.4017397327658356	NA	NA	NA	NA
HUERS-P3-int_00276	3.3873056832269066	6.59686035479319	7.163641176023485	4.595977659940525e-5	2.873006833371231e-4	2.5120966812993917	NA	NA	NA	NA
HERVH-int_00949	-3.326407224605629	6.499906304197788	-7.154435863789858	4.643243367064616e-5	2.873006833371231e-4	2.5041106012218286	AP | GAG | INT | RT	0.794	HERVH	AP:0.79 | RT:0.34 | GAG:0.14 | INT:0.14
Harlequin-int_00074	1.4889601372477501	12.060105952144541	7.114214976909924	4.8560742141076975e-5	2.9737196733814144e-4	2.099918183445096	ENV | GAG	0.374	Harlequin	ENV:0.37 | GAG:0.10
HERVH-int_00602	-2.8127659369943365	12.617579246291964	-7.086903068313193	5.006653527582109e-5	3.005347567239043e-4	2.0600292673981	AP | INT | RT	0.399	HERVH	RT:0.40 | AP:0.32 | INT:0.20
HERV9N-int_00052	-1.8069884949684876	9.984483621766355	-7.083589677026121	5.025265017739418e-5	3.005347567239043e-4	2.1375911625115656	NA	NA	NA	NA
HERVK9-int_00215	-4.007928438070136	6.850225029498627	-7.0775282974087	5.0595076889546175e-5	3.005347567239043e-4	2.4111257035100255	AP | DUT | ENV | INT | RNaseH | RT	0.927	HERVK9	RT:0.93 | AP:0.91 | DUT:0.74 | INT:0.73 | RNaseH:0.51 | ENV:0.19
THE1D-int_00141	-2.324233454357496	9.726724853701803	-7.04864409023005	5.2262172307842055e-5	3.063979779300895e-4	2.1293931775982706	NA	NA	NA	NA
MER4-int_00507	-5.912579848152169	5.391883759512369	-7.042680209910626	5.2613794190015366e-5	3.063979779300895e-4	2.3782966869846875	NA	NA	NA	NA
HERVH-int_00457	-2.579780969886365	10.118282167667692	-6.996063486586837	5.545281892475643e-5	3.1979586836218755e-4	2.0505708730769747	GAG | INT | RT	0.399	HERVH	RT:0.40 | INT:0.20 | GAG:0.14
MST-int_00528	1.4723233935426279	10.061498428588713	6.983032000477308	5.6276022662252474e-5	3.214226678978651e-4	1.9857117259538182	NA	NA	NA	NA
HERVH-int_00087	-2.277640413265905	13.416027503513428	-6.90327117608853	6.161411293564773e-5	3.4855983889309287e-4	1.836522976535246	AP | GAG | INT | RT	0.824	HERVH	AP:0.82 | RT:0.34 | INT:0.20 | GAG:0.13
MER31-int_00441	3.2361429945337314	6.1730911437043074	6.8588485003191115	6.482457455946e-5	3.6326223856904944e-4	2.177988652310919	NA	NA	NA	NA
HERVFH21-int_00082	-2.9854086953192436	9.906953773567851	-6.839911428321837	6.624820049138385e-5	3.6777038403628043e-4	1.8897395382667757	GAG | RNaseH | RT	0.971	HERVFH21	RNaseH:0.97 | RT:0.37 | GAG:0.20
HERVE_a-int_00053	1.4517486053683466	10.291222021039676	6.805844405375414	6.88957605473598e-5	3.7892668301047893e-4	1.7575722257735649	ENV	0.245	HERVE_a	ENV:0.24
MER4-int_00821	-2.4288704406090695	9.270437185817807	-6.62838043429676	8.468745148816716e-5	4.6150776315569993e-4	1.6582157573838696	NA	NA	NA	NA
HERVH-int_00533	-4.08536399009155	5.524233709520207	-6.619408130266744	8.558433403709962e-5	4.6215540380033796e-4	1.9003192305562342	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.43 | INT:0.20 | GAG:0.12
HERVH-int_00197	-3.065852092884729	5.795063612261545	-6.496605433375732	9.895662603380085e-5	5.295516744511506e-4	1.7576611828782092	AP | INT | RT	0.985	HERVH	AP:0.98 | RT:0.37 | INT:0.16
MER57-int_00470	2.5731279595714867	7.512006861825108	6.480657616109051	1.0085378888479663e-4	5.348852731925822e-4	1.665408623659312	NA	NA	NA	NA
HERVH-int_00648	-3.551760812598416	5.5148283112526295	-6.437121737146276	1.0623717792303753e-4	5.584502981087105e-4	1.6867896525948538	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.37 | INT:0.20 | GAG:0.14
LTR25-int_00290	-3.8821438390117535	5.162131822303414	-6.375138703809307	1.1444792623707393e-4	5.963339314458062e-4	1.6145672267850308	NA	NA	NA	NA
HERVL-int_00054	3.529225707680731	5.386703587589926	6.358912770773704	1.1670952504565391e-4	6.02830068496682e-4	1.5998184262599588	RT	0.525	HERVL	RT:0.53
HERVIP10FH-int_00145	2.060557657936725	7.95572607478287	6.303483980607566	1.2480913721525788e-4	6.391088578091653e-4	1.3535614361955162	NA	NA	NA	NA
MER34-int_00241	2.378275319369549	6.8208376958664605	6.283329406004223	1.279039877246546e-4	6.493587069097849e-4	1.4706968574406485	ENV	0.304	MER34	ENV:0.30
MLT-int_00132	2.952553419096906	5.705198656694707	6.242939873707739	1.343599150643004e-4	6.763541487135121e-4	1.4577243069273544	NA	NA	NA	NA
MER4-int_00566	3.736472228209676	5.3291420311514095	6.215069571061819	1.390207317196693e-4	6.939354171553241e-4	1.4229124862497802	NA	NA	NA	NA
HERVH-int_01330	-1.8450448539151627	8.59916077114669	-6.186526696473064	1.439765697887663e-4	7.117954884234876e-4	1.1428678593019992	AP | GAG | INT | RT	0.941	HERVH	AP:0.94 | RT:0.21 | INT:0.15 | GAG:0.14
HERVIP10B3-int_00096	1.4201447519415753	10.95713890314115	6.178001840299108	1.4549367035296846e-4	7.117954884234876e-4	0.9430451806579399	NA	NA	NA	NA
MER65-int_00337	3.5586380378858116	7.938412764458658	6.172739487471005	1.4643882531182464e-4	7.117954884234876e-4	1.26721114559804	NA	NA	NA	NA
HERVE-int_00128	1.8893404666039346	8.601426203221195	6.167469715696168	1.4739199507759088e-4	7.117954884234876e-4	1.1089311083155113	AP | GAG | INT | RNaseH | RT	0.985	HERVE	AP:0.98 | RT:0.58 | RNaseH:0.56 | INT:0.39 | GAG:0.17
HERV9NC-int_00167	-4.06340273876498	6.020119190092647	-6.120334348813229	1.562233704864345e-4	7.48360339265662e-4	1.2854118353034183	INT	0.496	HERV9NC	INT:0.50
ERVL-E-int_04095	2.5378279188575594	7.7522287933494045	6.091526065994071	1.6190255757779457e-4	7.666386074881747e-4	1.1336418037401303	NA	NA	NA	NA
HERVH-int_01251	-3.5063066641859995	7.354133199418965	-6.087963405680026	1.626203106793098e-4	7.666386074881747e-4	1.2069136649958203	AP | GAG | RT	0.838	HERVH	AP:0.84 | RT:0.34 | GAG:0.13
HERV9-int_00085	-1.2407108344051148	13.710861853492824	-6.043000376890694	1.7198164004442656e-4	8.043865683967668e-4	0.7394141152107148	ENV	0.312	HERV9	ENV:0.31
HERVH-int_01181	-3.0759710398564324	8.20905636559953	-6.011239543528692	1.7894590784698836e-4	8.245031018964936e-4	1.025472863182861	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.37 | INT:0.20 | GAG:0.13
HERVK-int_00020	1.5611789255314066	9.140088278665322	6.0107359989588245	1.790587544522688e-4	8.245031018964936e-4	0.8404498168916188	NA	NA	NA	NA
MER34B-int_00668	-3.1787638503499407	5.323998537200616	-6.001516015724099	1.8113869357759603e-4	8.276644921930157e-4	1.1575362731755616	NA	NA	NA	NA
